Model Name,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,,MK350NPLUS,
Serial Number,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,,A16M0109,
Time,2015/05/16_00:38:49,,2015/05/16_00:40:37,,2015/05/16_00:42:15,,2015/05/16_00:43:01,,2015/05/16_00:43:45,,2015/05/16_00:44:39,,2015/05/16_00:46:01,,2015/05/16_00:47:25,,2015/05/16_00:48:45,,2015/05/16_00:50:11,,2015/05/16_00:51:24,,2015/05/16_00:52:31,,2015/05/16_00:54:04,,2015/05/16_00:55:26,,2015/05/16_00:56:53,,2015/05/16_00:58:42,,2015/05/16_01:01:46,,2015/05/16_01:03:10,,2015/05/16_01:04:16,,2015/05/16_01:05:30,,2015/05/16_01:06:36,,2015/05/16_01:08:07,,2015/05/16_01:09:45,,2015/05/16_01:11:09,,2015/05/16_01:12:11,,2015/05/16_01:13:30,,2015/05/16_01:14:26,,2015/05/16_01:15:36,,2015/05/16_01:16:42,,2015/05/16_01:17:37,,2015/05/16_01:18:37,,2015/05/16_01:19:32,,2015/05/16_01:21:32,
Memo,,,deep purple,,special KH ラベンダー,,Just blue,,medium blue green,,steel green,,moss green,,chocolate,,smorky pink,,follies pink,,bright red,,rust,,dark salmon,,オクラハマ Yellow,,redium Yellow,,3200K-4300K,,6500K-3200K,,6500K-3800K,,6500K-4600K,,Plus green,,heavy forest diffusion,,P-00,,P-0,,P-1/2,,P-1,,P-1 1/2,,P-2,,P-2 1/2,,P-3,,P-3 1/2,,P-4,,P-4 1/2,,P-5,
LUX,5155.6875,,106.456795,,104.400208,,376.134033,,997.761169,,2066.579102,,1579.90918,,1177.156372,,599.753784,,1122.818848,,351.350983,,998.454773,,1692.12085,,3221.293945,,4602.98584,,2630.874756,,4018.711182,,3937.582764,,4733.729492,,4327.089355,,3650.918945,,5279.593262,,3887.498535,,3588.866943,,3630.020996,,3266.715088,,3414.434082,,3145.356934,,2413.61377,,1921.385986,,1937.342896,,1601.688232,,989.184998,
fc,479.153107,,9.893754,,9.702621,,34.956696,,92.728737,,192.061249,,146.831711,,109.401154,,55.739201,,104.351196,,32.653439,,92.793198,,157.2603,,299.37677,,427.786774,,244.505096,,373.486176,,365.94635,,439.937683,,402.145844,,339.304749,,490.668518,,361.291687,,333.537811,,337.362549,,303.598053,,317.326599,,292.319427,,224.313553,,178.567474,,180.050461,,148.855789,,91.931694,
CCT,7346,,0,,0,,0,,37139,,14210,,6941,,4543,,2462,,3046,,0,,1898,,1677,,3369,,4320,,20293,,3720,,4802,,6435,,5215,,6745,,4219,,3989,,3970,,4311,,4096,,4663,,5582,,7332,,5546,,2699,,2111,,0,
Duv,0.007413,,0.228536,,0.308554,,0.22086,,0.081804,,0.038894,,0.101177,,0.011776,,-0.065661,,-0.097716,,0.581355,,0.002675,,-0.02287,,0.003706,,0.040783,,0.015649,,0.035061,,0.005361,,0.007246,,0.040802,,0.00763,,0.044694,,0.014014,,0.008136,,-0.00292,,-0.013082,,-0.018452,,-0.035944,,-0.06555,,-0.090784,,-0.076631,,-0.106485,,0.429912,
I-Time,61,,251,,351,,150,,125,,103,,115,,290,,325,,128,,196,,194,,99,,94,,72,,81,,85,,93,,72,,69,,92,,62,,81,,84,,81,,81,,80,,80,,82,,86,,82,,79,,83,
x,0.299249,,0.170557,,0.2444,,0.149014,,0.16562,,0.233966,,0.260714,,0.364103,,0.383677,,0.339091,,0.649665,,0.544421,,0.51166,,0.417142,,0.392286,,0.243141,,0.43025,,0.352344,,0.312891,,0.344612,,0.307682,,0.402254,,0.391415,,0.387785,,0.366192,,0.368412,,0.34951,,0.330884,,0.322452,,0.331299,,0.363282,,0.356614,,0.379255,
y,0.323516,,0.065309,,0.103712,,0.109431,,0.313332,,0.309666,,0.552619,,0.391159,,0.257711,,0.203191,,0.322915,,0.419414,,0.342533,,0.405128,,0.487162,,0.270353,,0.496742,,0.368268,,0.337201,,0.446072,,0.332739,,0.506687,,0.415444,,0.399343,,0.36141,,0.342901,,0.320499,,0.277968,,0.230081,,0.20743,,0.237181,,0.194297,,0.163206,
u',0.190492,,0.198173,,0.260295,,0.148451,,0.10305,,0.149785,,0.114474,,0.209083,,0.288199,,0.284944,,0.466073,,0.313601,,0.336228,,0.237442,,0.19465,,0.168908,,0.212458,,0.209899,,0.194928,,0.179869,,0.192979,,0.194426,,0.217377,,0.221069,,0.221782,,0.231052,,0.227436,,0.23327,,0.252109,,0.274563,,0.283835,,0.308868,,0.361198,
v',0.463365,,0.170739,,0.248528,,0.245292,,0.438653,,0.446057,,0.545946,,0.505395,,0.435553,,0.384176,,0.521237,,0.543585,,0.506449,,0.518859,,0.543885,,0.422577,,0.551908,,0.493618,,0.472665,,0.523857,,0.469565,,0.55103,,0.519125,,0.51223,,0.492493,,0.483869,,0.469254,,0.44092,,0.40475,,0.386791,,0.416952,,0.378638,,0.34973,
deltax,-0.002862,,0.170557,,0.2444,,0.149014,,-0.082253,,-0.031492,,-0.046461,,0.00479,,-0.096756,,-0.094611,,0.649665,,0.006407,,-0.052189,,0.004264,,0.024925,,-0.013048,,0.03661,,0.001424,,-0.00168,,0.005266,,-0.002204,,0.03097,,0.010477,,0.006003,,-0.001511,,-0.007906,,-0.005794,,0.000273,,0.020177,,-0.000112,,-0.096668,,-0.158196,,0.379255,
deltay,0.011362,,0.065309,,0.103712,,0.109431,,0.067601,,0.040073,,0.235269,,0.02867,,-0.156393,,-0.199754,,0.322915,,0.008264,,-0.06068,,0.010754,,0.118974,,0.01304,,0.112191,,0.012069,,0.012535,,0.099144,,0.01267,,0.135839,,0.038377,,0.021753,,-0.007012,,-0.031247,,-0.039031,,-0.061494,,-0.082244,,-0.132734,,-0.173442,,-0.220404,,0.163206,
deltau',-0.006271,,0.198173,,0.260295,,0.148451,,-0.078775,,-0.036364,,-0.0839,,-0.007656,,0.013994,,0.035974,,0.466073,,-0.000212,,0.000146,,-0.001674,,-0.025211,,-0.014892,,-0.018167,,-0.003668,,-0.005855,,-0.029461,,-0.00627,,-0.026985,,-0.007932,,-0.004587,,0.001787,,0.007623,,0.012222,,0.027035,,0.055294,,0.068049,,0.021291,,0.012437,,0.361198,
deltav',0.005932,,0.170739,,0.248528,,0.245292,,0.033084,,0.020698,,0.084819,,0.013421,,-0.096229,,-0.13628,,0.521237,,0.004001,,-0.034304,,0.004959,,0.048086,,0.007212,,0.044981,,0.005864,,0.006403,,0.042342,,0.006521,,0.053441,,0.01733,,0.01008,,-0.003464,,-0.015947,,-0.020735,,-0.035531,,-0.052806,,-0.090138,,-0.110421,,-0.158634,,0.34973,
LambdaP,477,,416,,416,,448,,494,,494,,507,,608,,612,,621,,631,,611,,611,,609,,533,,454,,608,,609,,477,,499,,477,,533,,609,,610,,611,,611,,611,,611,,453,,452,,613,,614,,618,
LambdaPValue,90.782425,,28.259386,,20.236193,,40.888252,,45.165398,,54.826637,,44.876316,,19.186794,,18.712603,,47.745144,,31.871717,,31.419497,,61.743073,,64.750191,,71.512726,,71.588898,,66.306999,,65.53743,,77.024323,,75.921349,,60.790493,,82.612457,,75.005615,,72.445854,,74.668991,,74.556145,,75.502716,,75.383209,,75.213684,,70.575249,,73.910904,,76.989662,,72.595085,
